"product_id","product_name","in_stock","available_units","price","seller_id","category_id"
"P1812000170883","Elegant Air Purifier","yes",377,37.99,"S1212000029689","C1912000001514"
"P1812000306567","Modern Vacuum Cleaner","yes",285,35.99,"S1212000140254","C1912000001514"
"P1812000077308","Practical Vacuum Cleaner","yes",305,27.99,"S1212000092523","C1912000001514"
"P1812000105762","Elegant Vacuum Cleaner","yes",27,41.99,"S1212000106989","C1912000001514"
"P1812000226864","Sophisticated Vacuum Cleaner","yes",248,30.99,"S1212000029689","C1912000001514"
"P1812000456408","User-Friendly Hand Mixer","yes",0,37.99,"S1212000106989","C1912000001514"
"P1812000487339","Fashionable Hand Mixer","yes",430,29.99,"S1212000106989","C1912000001514"
"P1812000083168","Sleek Blender","yes",380,34.99,"S1212000092523","C1912000001514"
"P1812000433221","Fashionable Refrigerator","yes",5,38.99,"S1212000143425","C1912000001514"
"P1812000246556","Comfortable Blender","yes",303,32.99,"S1212000092523","C1912000001514"
"P1812000342549","Fashionable Blender","yes",124,39.99,"S1212000113277","C1912000001514"
"P1812000369376","Futuristic Vacuum Cleaner","no",0,25.99,"S1212000143425","C1912000001514"
"P1812000091390","Robust Washing Machine","no",0,32.99,"S1212000029689","C1912000001514"
"P1812000074138","Efficient Washing Machine","yes",0,40.99,"S1212000140254","C1912000001514"
"P1812000157837","Fashionable Vacuum Cleaner","no",0,35.99,"S1212000113277","C1912000001514"
"P1812000132718","Stylish Refrigerator","yes",226,35.99,"S1212000092523","C1912000001514"
"P1812000258797","Practical Vacuum Cleaner","yes",0,33.99,"S1212000006917","C1912000001514"
"P1812000387195","Elegant Vacuum Cleaner","yes",46,32.99,"S1212000006917","C1912000001514"
"P1812000268489","Sleek Hand Mixer","yes",176,24.99,"S1212000113277","C1912000001514"
"P1812000197860","Elegant Vacuum Cleaner","yes",451,38.99,"S1212000029689","C1912000001514"
"P1812000020748","Innovative Blender","yes",7,37.99,"S1212000006917","C1912000001514"
"P1812000486589","Compact Hand Mixer","no",0,39.99,"S1212000113277","C1912000001514"
"P1812000121785","Fashionable Hand Mixer","yes",477,27.99,"S1212000106989","C1912000001514"
"P1812000048389","Elegant Air Purifier","yes",66,37.99,"S1212000140254","C1912000001514"
"P1812000346906","Fashionable Washing Machine","no",0,24.99,"S1212000140254","C1912000001514"
"P1812000438593","Robust Air Purifier","yes",292,37.99,"S1212000140254","C1912000001514"
"P1812000249378","Sleek Vacuum Cleaner","yes",0,31.99,"S1212000006917","C1912000001514"
"P1812000492109","Sleek Refrigerator","yes",335,38.99,"S1212000140254","C1912000001514"
"P1812000327333","Fashionable Blender","yes",217,31.99,"S1212000006917","C1912000001514"
"P1812000123913","Compact Washing Machine","yes",261,29.99,"S1212000006917","C1912000001514"
"P1812000050171","Portable Vacuum Cleaner","yes",179,23.99,"S1212000029689","C1912000001514"
"P1812000358704","Eco-Friendly Blender","yes",106,26.99,"S1212000029689","C1912000001514"
"P1812000472303","Stylish Makeup Kit","yes",202,2.99,"S1212000102579","C1912000002562"
"P1812000392247","Stylish Perfume","yes",305,2.99,"S1212000157837","C1912000002562"
"P1812000071555","Eco-Friendly Makeup Kit","yes",0,2.99,"S1212000157837","C1912000002562"
"P1812000060562","Sustainable Face Cream","yes",16,2.99,"S1212000058393","C1912000002562"
"P1812000055964","Fashionable Razor","yes",0,2.99,"S1212000102579","C1912000002562"
"P1812000143425","Futuristic Razor","yes",170,3.99,"S1212000058393","C1912000002562"
"P1812000351391","Eco-Friendly Face Cream","yes",13,3.99,"S1212000157837","C1912000002562"
"P1812000396692","Eco-Friendly Makeup Kit","yes",345,2.99,"S1212000018190","C1912000002562"
"P1812000230408","Sleek Perfume","no",0,2.99,"S1212000018190","C1912000002562"
"P1812000201349","Innovative Razor","yes",468,3.99,"S1212000102579","C1912000002562"
"P1812000470361","Fashionable Makeup Kit","yes",159,2.99,"S1212000058393","C1912000002562"
"P1812000336390","Sleek Perfume","yes",302,2.99,"S1212000058393","C1912000002562"
"P1812000477766","Elegant Face Cream","no",0,2.99,"S1212000157837","C1912000002562"
"P1812000030692","Advanced Makeup Kit","yes",0,3.99,"S1212000067215","C1912000002562"
"P1812000126977","Sustainable Perfume","yes",132,3.99,"S1212000067215","C1912000002562"
"P1812000353889","Eco-Friendly Razor","yes",18,2.99,"S1212000069873","C1912000002562"
"P1812000444199","Sleek Perfume","yes",243,3.99,"S1212000102579","C1912000002562"
"P1812000221153","Gorgeous Perfume","yes",245,3.99,"S1212000157837","C1912000002562"
"P1812000464425","Powerful Razor","yes",160,2.99,"S1212000058393","C1912000002562"
"P1812000425677","Fashionable Makeup Kit","yes",187,2.99,"S1212000069873","C1912000002562"
"P1812000086508","Eco-Friendly Perfume","yes",81,3.99,"S1212000018190","C1912000002562"
"P1812000080133","Fashionable Perfume","yes",14,2.99,"S1212000069873","C1912000002562"
"P1812000348386","Fashionable Face Cream","yes",151,3.99,"S1212000069873","C1912000002562"
"P1812000469986","Dynamic Razor","yes",381,2.99,"S1212000069873","C1912000002562"
"P1812000133576","Durable Face Cream","yes",411,3.99,"S1212000157837","C1912000002562"
"P1812000301920","Sleek Perfume","yes",355,3.99,"S1212000058393","C1912000002562"
"P1812000405463","Trendy Face Cream","yes",479,2.99,"S1212000018190","C1912000002562"
"P1812000420563","Compact Face Cream","yes",57,3.99,"S1212000058393","C1912000002562"
"P1812000124409","Advanced Face Cream","yes",36,2.99,"S1212000058393","C1912000002562"
"P1812000371175","Portable Razor","yes",347,2.99,"S1212000058393","C1912000002562"
"P1812000489731","Elegant Face Cream","yes",156,3.99,"S1212000067215","C1912000002562"
"P1812000329607","Futuristic Perfume","yes",190,3.99,"S1212000058393","C1912000002562"
"P1812000370308","Portable Makeup Kit","yes",271,3.99,"S1212000069873","C1912000002562"
"P1812000092523","Sleek Makeup Kit","yes",429,2.99,"S1212000102579","C1912000002562"
"P1812000279772","Ergonomic Perfume","yes",415,3.99,"S1212000018190","C1912000002562"
"P1812000320687","Sleek Razor","yes",127,2.99,"S1212000082112","C1912000002562"
"P1812000482721","Elegant Razor","yes",462,2.99,"S1212000067215","C1912000002562"
"P1812000285216","Reliable Face Cream","yes",240,3.99,"S1212000102579","C1912000002562"
"P1812000247716","High-Performance Face Cream","yes",79,2.99,"S1212000102579","C1912000002562"
"P1812000458207","Elegant Perfume","yes",94,2.99,"S1212000069873","C1912000002562"
"P1812000110747","Eco-Friendly Razor","yes",76,3.99,"S1212000067215","C1912000002562"
"P1812000373902","Robust Razor","yes",0,3.99,"S1212000102579","C1912000002562"
"P1812000271770","Dynamic Printer","yes",4,31.99,"S1212000107946","C1912000004625"
"P1812000149942","Dynamic Laptop","yes",190,33.99,"S1212000107946","C1912000004625"
"P1812000315123","Powerful Printer","yes",168,26.99,"S1212000147888","C1912000004625"
"P1812000430745","Flexible Printer","no",0,23.99,"S1212000147888","C1912000004625"
"P1812000184926","Elegant Laptop","yes",118,26.99,"S1212000107946","C1912000004625"
"P1812000292757","Stylish Laptop","yes",283,33.99,"S1212000107946","C1912000004625"
"P1812000276759","Reliable Printer","yes",0,39.99,"S1212000107946","C1912000004625"
"P1812000098257","Sleek Printer","yes",120,28.99,"S1212000107946","C1912000004625"
"P1812000443430","Innovative Printer","yes",368,37.99,"S1212000107946","C1912000004625"
"P1812000417519","Sustainable Laptop","yes",12,27.99,"S1212000147888","C1912000004625"
"P1812000311357","Trendy Laptop","yes",402,29.99,"S1212000107946","C1912000004625"
"P1812000144883","Practical Laptop","yes",350,29.99,"S1212000107946","C1912000004625"
"P1812000138259","Luxurious Laptop","yes",292,31.99,"S1212000147888","C1912000004625"
"P1812000054821","Practical Television","yes",344,70.99,"S1212000078473","C1912000005294"
"P1812000349833","Sustainable Television","yes",446,69.99,"S1212000007217","C1912000005294"
"P1812000015702","Powerful Television","yes",322,65.99,"S1212000080133","C1912000005294"
"P1812000068705","Affordable Earphones","yes",489,52.99,"S1212000078473","C1912000005294"
"P1812000168705","Compact Earphones","yes",342,46.99,"S1212000007217","C1912000005294"
"P1812000463405","User-Friendly Earphones","yes",2,69.99,"S1212000007217","C1912000005294"
"P1812000097209","Stylish Headphones","yes",212,63.99,"S1212000080133","C1912000005294"
"P1812000223334","Sleek Headphones","yes",490,66.99,"S1212000045323","C1912000005294"
"P1812000256717","Ergonomic Speaker","yes",165,57.99,"S1212000078473","C1912000005294"
"P1812000228726","Compact Earphones","yes",448,58.99,"S1212000100582","C1912000005294"
"P1812000082112","Practical Television","yes",132,68.99,"S1212000080133","C1912000005294"
"P1812000014701","Flexible Gaming Console","yes",187,47.99,"S1212000045323","C1912000005294"
"P1812000338442","Practical Headphones","yes",193,64.99,"S1212000012473","C1912000005294"
"P1812000127342","Fashionable Gaming Console","yes",477,44.99,"S1212000007217","C1912000005294"
"P1812000206480","Fashionable Gaming Console","yes",53,55.99,"S1212000100582","C1912000005294"
"P1812000378422","Durable Television","yes",271,55.99,"S1212000012473","C1912000005294"
"P1812000236663","Chic Speaker","yes",486,57.99,"S1212000012473","C1912000005294"
"P1812000376274","Versatile Headphones","no",0,64.99,"S1212000080133","C1912000005294"
"P1812000081615","Stylish Gaming Console","yes",357,67.99,"S1212000012473","C1912000005294"
"P1812000187732","Innovative Headphones","yes",198,44.99,"S1212000045323","C1912000005294"
"P1812000119226","Gorgeous Television","yes",266,48.99,"S1212000095770","C1912000005294"
"P1812000016867","Compact Gaming Console","yes",65,65.99,"S1212000012473","C1912000005294"
"P1812000243567","Robust Television","yes",171,63.99,"S1212000012473","C1912000005294"
"P1812000485154","Comfortable Television","yes",346,46.99,"S1212000078473","C1912000005294"
"P1812000308448","Sleek Gaming Console","yes",372,42.99,"S1212000012473","C1912000005294"
"P1812000491403","Fashionable Television","yes",495,58.99,"S1212000078473","C1912000005294"
"P1812000023125","Futuristic Headphones","yes",331,59.99,"S1212000007217","C1912000005294"
"P1812000440859","Versatile Headphones","yes",208,68.99,"S1212000007217","C1912000005294"
"P1812000462640","Eco-Friendly Earphones","yes",288,53.99,"S1212000012473","C1912000005294"
"P1812000078473","Affordable Earphones","yes",168,43.99,"S1212000100582","C1912000005294"
"P1812000025525","Sophisticated Speaker","no",0,60.99,"S1212000007217","C1912000005294"
"P1812000093979","Sophisticated Speaker","yes",452,44.99,"S1212000012473","C1912000005294"
"P1812000321476","Flexible Speaker","yes",344,64.99,"S1212000012473","C1912000005294"
"P1812000202903","Versatile Speaker","yes",0,64.99,"S1212000007217","C1912000005294"
"P1812000003278","Sophisticated Speaker","yes",206,42.99,"S1212000080133","C1912000005294"
"P1812000056958","Luxurious Gaming Console","yes",336,49.99,"S1212000080133","C1912000005294"
"P1812000263618","Reliable Speaker","yes",448,68.99,"S1212000100582","C1912000005294"
"P1812000232304","Stylish Earphones","yes",0,58.99,"S1212000012473","C1912000005294"
"P1812000033472","Dynamic Gaming Console","yes",235,54.99,"S1212000095770","C1912000005294"
"P1812000142104","Stylish Gaming Console","yes",230,51.99,"S1212000080133","C1912000005294"
"P1812000172409","Stylish Speaker","no",0,53.99,"S1212000080133","C1912000005294"
"P1812000238490","Innovative Gaming Console","yes",247,67.99,"S1212000007217","C1912000005294"
"P1812000103810","Versatile Earphones","no",0,46.99,"S1212000078473","C1912000005294"
"P1812000481678","Sleek Headphones","yes",488,39.99,"S1212000080133","C1912000005294"
"P1812000404724","Flexible Headphones","yes",0,69.99,"S1212000078473","C1912000005294"
"P1812000147888","Powerful Headphones","yes",198,70.99,"S1212000012473","C1912000005294"
"P1812000106989","Dynamic Speaker","yes",15,56.99,"S1212000100582","C1912000005294"
"P1812000363264","Reliable Headphones","yes",391,41.99,"S1212000095770","C1912000005294"
"P1812000114461","Sleek Speaker","yes",250,42.99,"S1212000045323","C1912000005294"
"P1812000087407","Robust Speaker","no",0,43.99,"S1212000045323","C1912000005294"
"P1812000494521","Elegant Gaming Console","yes",50,53.99,"S1212000078473","C1912000005294"
"P1812000179151","Modern Television","yes",187,40.99,"S1212000045323","C1912000005294"
"P1812000332179","Luxurious Speaker","yes",472,39.99,"S1212000080133","C1912000005294"
"P1812000347321","Stylish Television","yes",0,43.99,"S1212000078473","C1912000005294"
"P1812000359736","Elegant Gaming Console","yes",278,45.99,"S1212000078473","C1912000005294"
"P1812000171443","Affordable Television","yes",362,51.99,"S1212000045323","C1912000005294"
"P1812000146899","Sustainable Earphones","no",0,59.99,"S1212000045323","C1912000005294"
"P1812000410130","Premium Headphones","no",0,70.99,"S1212000007217","C1912000005294"
"P1812000317229","Dynamic Television","yes",483,66.99,"S1212000012473","C1912000005294"
"P1812000273756","Fashionable Gaming Console","yes",200,66.99,"S1212000078473","C1912000005294"
"P1812000169599","Innovative Headphones","yes",33,52.99,"S1212000007217","C1912000005294"
"P1812000453567","Stylish Speaker","yes",201,42.99,"S1212000045323","C1912000005294"
"P1812000439964","Eco-Friendly Earphones","no",0,70.99,"S1212000007217","C1912000005294"
"P1812000150337","Eco-Friendly Yoga Mat","yes",146,3.99,"S1212000117429","C1912000006917"
"P1812000431563","Stylish Fitness Tracker","yes",0,4.99,"S1212000117429","C1912000006917"
"P1812000465173","Premium Fitness Tracker","yes",262,3.99,"S1212000003278","C1912000006917"
"P1812000280677","Modern Gym Equipment","yes",24,3.99,"S1212000063189","C1912000006917"
"P1812000408560","Eco-Friendly Fitness Tracker","yes",236,4.99,"S1212000035242","C1912000006917"
"P1812000490961","Flexible Yoga Mat","yes",258,2.99,"S1212000063189","C1912000006917"
"P1812000295233","Eco-Friendly Yoga Mat","yes",350,2.99,"S1212000196809","C1912000006917"
"P1812000191976","Sleek Gym Equipment","no",0,3.99,"S1212000003278","C1912000006917"
"P1812000028310","Trendy Gym Equipment","yes",242,3.99,"S1212000119226","C1912000006917"
"P1812000120311","Sleek Fitness Tracker","yes",209,2.99,"S1212000003278","C1912000006917"
"P1812000096220","Innovative Yoga Mat","yes",412,3.99,"S1212000135765","C1912000006917"
"P1812000167385","Stylish Fitness Tracker","yes",95,2.99,"S1212000196809","C1912000006917"
"P1812000449379","Gorgeous Yoga Mat","no",0,2.99,"S1212000200771","C1912000006917"
"P1812000367495","Elegant Fitness Tracker","yes",258,2.99,"S1212000117429","C1912000006917"
"P1812000034943","Innovative Fitness Tracker","yes",240,4.99,"S1212000196809","C1912000006917"
"P1812000264856","Stylish Fitness Tracker","yes",147,3.99,"S1212000200771","C1912000006917"
"P1812000265765","Sleek Running Shoes","yes",147,4.99,"S1212000035242","C1912000006917"
"P1812000108184","Affordable Running Shoes","no",0,3.99,"S1212000196809","C1912000006917"
"P1812000104166","Stylish Yoga Mat","yes",135,4.99,"S1212000003278","C1912000006917"
"P1812000281615","Modern Running Shoes","yes",262,2.99,"S1212000119226","C1912000006917"
"P1812000284488","Stylish Fitness Tracker","yes",119,3.99,"S1212000035242","C1912000006917"
"P1812000005294","Stylish Fitness Tracker","yes",269,3.99,"S1212000035242","C1912000006917"
"P1812000313485","Sleek Gym Equipment","yes",480,4.99,"S1212000135765","C1912000006917"
"P1812000493764","Flexible Fitness Tracker","yes",254,3.99,"S1212000003278","C1912000006917"
"P1812000421511","Fashionable Fitness Tracker","no",0,2.99,"S1212000035242","C1912000006917"
"P1812000140254","Innovative Running Shoes","no",0,3.99,"S1212000196809","C1912000006917"
"P1812000035242","Powerful Gym Equipment","yes",415,3.99,"S1212000117429","C1912000006917"
"P1812000283324","Gorgeous Fitness Tracker","yes",0,2.99,"S1212000035242","C1912000006917"
"P1812000198811","Reliable Fitness Tracker","yes",370,2.99,"S1212000035242","C1912000006917"
"P1812000434498","Compact Fitness Tracker","no",0,2.99,"S1212000035242","C1912000006917"
"P1812000445207","Practical Running Shoes","no",0,2.99,"S1212000135765","C1912000006917"
"P1812000305810","Eco-Friendly Running Shoes","yes",333,3.99,"S1212000003278","C1912000006917"
"P1812000129946","Fashionable Running Shoes","yes",120,3.99,"S1212000111150","C1912000006917"
"P1812000323269","Fashionable Gym Equipment","no",0,3.99,"S1212000120311","C1912000006917"
"P1812000075258","Portable Yoga Mat","yes",439,3.99,"S1212000120311","C1912000006917"
"P1812000012473","Durable Luggage","yes",0,3.99,"S1212000199527","C1912000007217"
"P1812000267823","Innovative Tablet","yes",0,3.99,"S1212000108184","C1912000007217"
"P1812000024618","Innovative Alarm Clock","yes",192,3.99,"S1212000199527","C1912000007217"
"P1812000029689","High-Quality Cookware Set","yes",349,3.99,"S1212000192805","C1912000007217"
"P1812000046265","Compact Luggage","yes",16,3.99,"S1212000192805","C1912000007217"
"P1812000007217","High-Performance Luggage","yes",58,3.99,"S1212000192805","C1912000007217"
"P1812000389496","User-Friendly Couch","yes",266,3.99,"S1212000108184","C1912000007217"
"P1812000063189","Robust Luggage","yes",91,4.99,"S1212000199527","C1912000007217"
"P1812000319802","Elegant Mattress","yes",261,3.99,"S1212000108184","C1912000007217"
"P1812000199527","Powerful Mattress","yes",111,4.99,"S1212000108184","C1912000007217"
"P1812000175971","Elegant Dining Table","yes",120,2.99,"S1212000108184","C1912000007217"
"P1812000040941","Innovative Luggage","yes",179,3.99,"S1212000108184","C1912000007217"
"P1812000391841","Futuristic Curtains","yes",215,4.99,"S1212000055964","C1912000007217"
"P1812000042408","Fashionable Desk","yes",326,2.99,"S1212000055964","C1912000007217"
"P1812000160182","Practical Dining Table","yes",358,2.99,"S1212000108184","C1912000007217"
"P1812000058393","Sleek Alarm Clock","yes",0,4.99,"S1212000055964","C1912000007217"
"P1812000368965","Modern Desk","yes",140,2.99,"S1212000055964","C1912000007217"
"P1812000154921","Trendy Mattress","yes",321,4.99,"S1212000055964","C1912000007217"
"P1812000384457","Flexible Dining Table","yes",306,3.99,"S1212000199527","C1912000007217"
"P1812000130891","Innovative Dining Table","yes",12,2.99,"S1212000055964","C1912000007217"
"P1812000049680","High-Quality Alarm Clock","yes",235,3.99,"S1212000055964","C1912000007217"
"P1812000252745","Ergonomic Luggage","yes",227,4.99,"S1212000055964","C1912000007217"
"P1812000011113","Chic Bed","yes",230,3.99,"S1212000055964","C1912000007217"
"P1812000213364","Practical Luggage","yes",198,4.99,"S1212000055964","C1912000007217"
"P1812000497892","Durable Tablet","yes",171,3.99,"S1212000199527","C1912000007217"
"P1812000041122","Chic Dining Table","yes",361,4.99,"S1212000199527","C1912000007217"
"P1812000189401","Sophisticated Couch","yes",136,3.99,"S1212000108184","C1912000007217"
"P1812000043234","Fashionable Curtains","yes",390,4.99,"S1212000055964","C1912000007217"
"P1812000488990","Compact Couch","yes",0,4.99,"S1212000055964","C1912000007217"
"P1812000461360","Trendy Couch","yes",157,4.99,"S1212000055964","C1912000007217"
"P1812000207644","Ergonomic Dining Table","yes",20,2.99,"S1212000192805","C1912000007217"
"P1812000208139","Compact Couch","yes",136,3.99,"S1212000192805","C1912000007217"
"P1812000062530","User-Friendly Curtains","yes",159,3.99,"S1212000199527","C1912000007217"
"P1812000303920","Stylish Bed","yes",408,3.99,"S1212000055964","C1912000007217"
"P1812000224388","High-Performance Tablet","yes",0,3.99,"S1212000055964","C1912000007217"
"P1812000427303","Robust Luggage","yes",490,2.99,"S1212000055964","C1912000007217"
"P1812000065322","Fashionable Couch","yes",484,3.99,"S1212000055964","C1912000007217"
"P1812000066627","Elegant Alarm Clock","yes",339,3.99,"S1212000108184","C1912000007217"
"P1812000053240","Chic Alarm Clock","yes",283,3.99,"S1212000055964","C1912000007217"
"P1812000242259","Compact Couch","yes",15,4.99,"S1212000192805","C1912000007217"
"P1812000190696","User-Friendly Tablet","yes",454,2.99,"S1212000108184","C1912000007217"
"P1812000380476","Ergonomic Curtains","yes",58,4.99,"S1212000108184","C1912000007217"
"P1812000031654","Fashionable Cookware Set","yes",65,4.99,"S1212000199527","C1912000007217"
"P1812000220930","Eco-Friendly Pillow","yes",452,4.99,"S1212000108184","C1912000007217"
"P1812000436414","Stylish Cookware Set","yes",17,4.99,"S1212000199527","C1912000007217"
"P1812000182276","Stylish Bed","yes",207,3.99,"S1212000199527","C1912000007217"
"P1812000196809","Practical Couch","yes",53,4.99,"S1212000055964","C1912000007217"
"P1812000318264","Affordable Tablet","yes",0,4.99,"S1212000192805","C1912000007217"
"P1812000117429","Robust Curtains","yes",409,3.99,"S1212000192805","C1912000007217"
"P1812000360910","Trendy Dining Table","yes",0,3.99,"S1212000192805","C1912000007217"
"P1812000200771","Innovative Desk","yes",0,3.99,"S1212000108184","C1912000007217"
"P1812000442147","Fashionable Dining Table","yes",313,2.99,"S1212000108184","C1912000007217"
"P1812000107946","Versatile Tablet","no",0,2.99,"S1212000199527","C1912000007217"
"P1812000122884","Innovative Dining Table","yes",339,3.99,"S1212000192805","C1912000007217"
"P1812000002562","Advanced Couch","no",0,4.99,"S1212000192805","C1912000007217"
"P1812000165868","Eco-Friendly Tablet","yes",287,3.99,"S1212000055964","C1912000007217"
"P1812000166779","Fashionable Tablet","yes",148,3.99,"S1212000055964","C1912000007217"
"P1812000287747","High-Performance Bed","yes",378,4.99,"S1212000055964","C1912000007217"
"P1812000155236","Efficient Pillow","yes",468,4.99,"S1212000192805","C1912000007217"
"P1812000290696","Stylish Luggage","yes",433,3.99,"S1212000199527","C1912000007217"
"P1812000089188","Sleek Bed","no",0,3.99,"S1212000192805","C1912000007217"
"P1812000413193","Durable Bed","no",0,4.99,"S1212000055964","C1912000007217"
"P1812000212224","Premium Tablet","yes",169,4.99,"S1212000199527","C1912000007217"
"P1812000253446","Modern Curtains","yes",69,3.99,"S1212000108184","C1912000007217"
"P1812000214874","Sustainable Pillow","yes",431,4.99,"S1212000108184","C1912000007217"
"P1812000254228","Efficient Desk","yes",251,3.99,"S1212000055964","C1912000007217"
"P1812000390503","Advanced Cookware Set","yes",159,3.99,"S1212000108184","C1912000007217"
"P1812000379214","Innovative Cookware Set","yes",194,3.99,"S1212000108184","C1912000007217"
"P1812000459107","Sleek Pillow","yes",86,3.99,"S1212000108184","C1912000007217"
"P1812000192805","Ergonomic Couch","yes",389,3.99,"S1212000192805","C1912000007217"
"P1812000300546","Chic Couch","yes",0,3.99,"S1212000199527","C1912000007217"
"P1812000355783","Eco-Friendly Tablet","yes",172,4.99,"S1212000199527","C1912000007217"
"P1812000101576","High-Performance Couch","yes",453,3.99,"S1212000192805","C1912000007217"
"P1812000222637","Powerful Luggage","yes",221,3.99,"S1212000055964","C1912000007217"
"P1812000183653","Compact Luggage","yes",256,3.99,"S1212000199527","C1912000007217"
"P1812000225284","Sleek Cookware Set","yes",0,2.99,"S1212000199527","C1912000007217"
"P1812000468366","Versatile Desk","yes",81,4.99,"S1212000108184","C1912000007217"
"P1812000227512","Stylish Bed","yes",423,3.99,"S1212000192805","C1912000007217"
"P1812000186622","Fashionable Desk","yes",102,4.99,"S1212000055964","C1912000007217"
"P1812000403110","Gorgeous Pillow","yes",296,4.99,"S1212000108184","C1912000007217"
"P1812000162978","Gorgeous Tablet","yes",454,3.99,"S1212000055964","C1912000007217"
"P1812000432483","Stylish Tablet","yes",464,4.99,"S1212000108184","C1912000007217"
"P1812000164295","Eco-Friendly Mattress","no",0,4.99,"S1212000192805","C1912000007217"
"P1812000032970","Stylish Bed","yes",219,3.99,"S1212000199527","C1912000007217"
"P1812000394491","Ergonomic Dining Table","yes",368,3.99,"S1212000192805","C1912000007217"
"P1812000356396","Robust Luggage","yes",379,4.99,"S1212000199527","C1912000007217"
"P1812000316565","Innovative Luggage","yes",179,3.99,"S1212000055964","C1912000007217"
"P1812000116709","Stylish Couch","yes",66,3.99,"S1212000108184","C1912000007217"
"P1812000278337","Comfortable Couch","yes",364,3.99,"S1212000055964","C1912000007217"
"P1812000331163","Dynamic Curtains","yes",0,4.99,"S1212000199527","C1912000007217"
"P1812000361138","Versatile Bed","yes",385,3.99,"S1212000199527","C1912000007217"
"P1812000454926","Elegant Bed","yes",0,3.99,"S1212000192805","C1912000007217"
"P1812000429472","Gorgeous Desk","yes",30,4.99,"S1212000199527","C1912000007217"
"P1812000307309","Elegant Alarm Clock","yes",418,4.99,"S1212000108184","C1912000007217"
"P1812000163138","Premium Tablet","yes",259,4.99,"S1212000199527","C1912000007217"
"P1812000095770","Fashionable Alarm Clock","yes",306,3.99,"S1212000192805","C1912000007217"
"P1812000448269","Affordable Luggage","yes",327,2.99,"S1212000108184","C1912000007217"
"P1812000406485","Reliable Bed","yes",435,4.99,"S1212000055964","C1912000007217"
"P1812000193718","Fashionable Alarm Clock","yes",126,3.99,"S1212000108184","C1912000007217"
"P1812000450447","Trendy Tablet","yes",367,4.99,"S1212000199527","C1912000007217"
